typed_by_dry,recorded_by_dry,typed_date_ymd,record_date_ymd,block ,pot_ID,treatment,fine/coarse,envelope_num,below_dry_g,remarks
GX,SD,2019-01-25,2019-01-25,B1,DASP-01,WD,fine,1,0.0964,"changed from ""WW"" to ""WD"""
SD,SD,2019-01-25,2019-01-25,B4,DASP-02,WD,fine,1,0.0836,-
GX,SD,2019-01-25,2019-01-25,B3,DASP-03,WD,fine,1,0.1343,-
SD,SD,2019-01-25,2019-01-25,B4,DASP-04,WW,fine,1,0.1611,-
GX,SD,2019-01-25,2019-01-25,B2,DASP-05,WW,fine,1,0.1647,-
SD,SD,2019-01-25,2019-01-25,B2,DASP-06,WD,fine,1,0.0653,-
SD,SD,2019-01-25,2019-01-25,B3,DASP-07,WW,fine,1,0.0233,-
SD,SD,2019-01-25,2019-01-25,B5,DASP-08,WD,fine,1,0.0577,-
SD,SD,2019-01-25,2019-01-25,B1,DASP-09,WW,fine,1,0.1071,-
SD,SD,2019-01-25,2019-01-25,B3,DASP-10,WW,fine,1,0.2582,-
GX,SD,2019-01-25,2019-01-25,B5,DASP-11,WW,fine,1,0.1634,-
-,-,-,-,B1,DASP-12,WD,-,-,-,dead plant (GX)
GX,JHD,2019-02-04,2019-02-04,B5,DASP-13,WW,fine,1,0.1195,-
GX,SD,2019-01-25,2019-01-25,B3,DASP-14,WD,fine,1,0.4693,-
SD,SD,2019-01-25,2019-01-25,B2,DASP-15,WD,fine,1,0.014,-
GX,SD,2019-01-25,2019-01-25,B4,DASP-16,WW,fine,1,0.4391,-
SD,SD,2019-01-25,2019-01-25,B1,DASP-17,WW,fine,1,0.0471,-
SD,SD,2019-01-25,2019-01-25,B2,DASP-18,WW,fine,1,0.1059,-
SD,SD,2019-01-25,2019-01-25,B5,DASP-19,WD,fine,1,0.1619,-
-,-,-,-,B4,DASP-20,WD,-,-,-,dead plant (GX)
GX,GX,2019-07-04,2019-07-04,B2,DEFL-01,WD,fine,1,1.5514,-
GK,GK,2019-04-30,2019-04-30,B1,DEFL-02,WD,fine,1,0.3292,-
-,-,-,-,B5,DEFL-03,WW,-,-,-,-
GX,GX,2019-07-04,2019-07-03,B5,DEFL-03,WW,fine,1,0.5391,-
GX,GX,2019-07-03,2019-07-03,B5,DEFL-03,WW,fine,1,1.4165,-
GX,GX,2019-07-03,2019-07-03,B4,DEFL-04,WD,fine,1,1.5094,-
-,-,-,-,B3,DEFL-05,WW,-,-,-,-
-,-,-,-,B3,DEFL-06,WD,-,-,-,-
GX,GX,2019-07-04,2019-07-04,B5,DEFL-07,WD,fine,1,1.741,-
-,-,-,-,B5,DEFL-08,WD,-,-,-,-
-,-,-,-,B2,DEFL-09,WW,-,-,-,-
GX,GX,2019-07-04,2019-07-04,B3,DEFL-10,WD,fine,1,0.7118,-
-,-,-,-,B4,DEFL-11,WW,-,-,-,-
-,-,-,-,B3,DEFL-12,WW,-,-,-,-
GX,GX,2019-07-04,2019-07-04,B1,DEFL-13,WD,fine,2,,-
GX,GX,2019-07-04,2019-07-04,B1,DEFL-13,WD,fine,1,0.6215,-
-,-,-,-,B4,DEFL-14,WD,-,-,-,-
-,-,-,-,B1,DEFL-15,WW,-,-,-,-
GX,GX,2019-07-04,2019-07-04,B1,DEFL-15,WW,fine,1,0.3371,-
GX,GX,2019-07-04,2019-07-04,B1,DEFL-15,WW,coarse,1,0.0949,-
-,-,-,-,B2,DEFL-16,WW,-,-,-,-
GX,GX,2019-07-04,2019-07-04,B5,DEFL-17,WW,fine,1,1.4192,-
GX,GX,2019-07-03,2019-07-03,B5,DEFL-17,WW,fine,2,0.6704,-
-,-,-,-,B1,DEFL-18,WD,-,-,-,-
GX,GX,2019-07-04,2019-07-04,B4,DEFL-19,WW,fine,1,1.2277,-
GX,GX,2019-07-03,2019-07-03,B4,DEFL-19,WW,fine,2,0.8562,-
-,-,-,-,B2,DEFL-20,WD,-,-,-,-
,,,,B1,EMNI-01,WW,-,-,-,-
SK,SK,2019-01-23,2019-01-21,B1,EMNI-02,WW,fine,1,0.0032,-
,,,,B5,EMNI-03,WD,-,-,-,-
,,,,B5,EMNI-04,WD,-,-,-,-
,,,,B3,EMNI-05,WD,-,-,-,-
GX,JHD,2019-02-04,2019-02-04,B5,EMNI-06,WW,fine,1,0.003,-
-,-,-,-,B2,EMNI-07,WW,-,-,-,-
SK,SK,2019-01-23,2019-01-21,B4,EMNI-08,WD,fine,1,0.0011,-
SK,SK,2019-01-23,2019-01-21,B3,EMNI-09,WD,fine,1,0.0018,-
SK,SK,2019-01-23,2019-01-21,B4,EMNI-10,WW,fine,1,0.0054,-
-,-,-,-,B3,EMNI-11,WW,-,-,-,-
-,-,-,-,B3,EMNI-11,WW,-,-,-,-
-,-,-,-,B1,EMNI-12,WD,-,-,-,-
-,-,-,-,B1,EMNI-12,WD,-,-,-,-
SK,SK,2019-01-23,2019-01-21,B1,EMNI-13,WD,fine,1,0.0039,-
SK,SK,2019-01-23,2019-01-21,B4,EMNI-14,WD,fine,1,0.0024,-
-,-,-,-,B2,EMNI-15,WD,-,-,-,-
