,processed_by,block,pot_id,trt,sampled,volume_cm_cubed,raw_total_length_mm,mean_radius_mm,dpi,border_pixels,particle_clean_size,circularity,min_threshold,max_threshold,remarks
1,TTR,B1,DASP-01,WD,pot,2299.57,43240.79,0.3048737,600,50,1,0.75,0,190,"#P 800-3000 (TTR); changed from ""WW"" to ""WD"""
2,TTR,B4,DASP-02,WD,pot,2299.57,29242.17,0.3072364,600,50,1,0.75,0,190,#P 800-2800
3,TTR,B3,DASP-03,WD,pot,2299.57,62261.96,0.2116658,600,50,1,0.75,0,190,#P 2300-7600
4,TTR,B4,DASP-04,WW,pot,2299.57,69321,0.2009413,600,50,1,0.75,0,190,#P 1100-6300
5,TTR,B2,DASP-05,WW,pot,2299.57,51332.38,0.2885571,600,50,1,0.75,0,190,#P 800-2000
6,TTR,B2,DASP-06,WD,pot,2299.57,30865.45,0.2116654,600,50,1,0.75,0,190,"#P 1100-1800, epson"
7,TTR,B3,DASP-07,WW,pot,2299.57,5261.145,0.286172,600,50,1,0.75,0,190,#P 1000-1300
8,TTR,B5,DASP-08,WD,pot,2299.57,28012.94,0.201504,600,50,1,0.75,0,190,"*didnt run R*, #P 1100-2700"
9,TTR,B1,DASP-09,WW,pot,2299.57,39994.29,0.2077279,600,50,1,0.75,0,190,"*didnt run R*, #P 1700-3800"
10,TTR,B3,DASP-10,WW,pot,2299.57,118361,0.2109823,600,50,1,0.75,0,190,#P 1500-2600 epson
11,TTR,B5,DASP-11,WW,pot,2299.57,53162.58,0.2326756,600,50,1,0.75,0,190,#P 400-6700
12,TTR,B1,DASP-12,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
13,TTR,B5,DASP-13,WW,pot,2299.57,50501.34,0.2201327,600,50,1,0.75,0,190,#P 1400-3000
14,TTR,B3,DASP-14,WD,pot,2299.57,194063.9,0.2556275,600,50,1,0.75,0,190,#P 3400-8000
15,TTR,B2,DASP-15,WD,pot,2299.57,7348.135,0.2722795,600,50,1,0.75,0,190,#P 600-700
16,TTR,B4,DASP-16,WW,pot,2299.57,193268.1,0.2246915,600,50,1,0.75,0,190,#P 3400-7000
17,TTR,B1,DASP-17,WW,pot,2299.57,19837.87,0.2650435,600,50,1,0.75,0,190,"#P 1300-2400, epson"
18,TTR,B2,DASP-18,WW,pot,2299.57,39068.54,0.3348182,600,50,1,0.75,0,190,#P 2800-4100
19,TTR,B5,DASP-19,WD,pot,2299.57,74192.55,0.2227098,600,50,1,0.75,0,190,#P 1500-2400
20,TTR,B4,DASP-20,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
21,-,B2,DEFL-01,WD,pot,2299.57,407808.1,0.2920412,600,50,1,0.75,0,185,-
22,GX,B2,DEFL-02,WD,pot,2299.57,87427.1,0.287866,600,50,1,0.75,0,185,-
23,GX,B5,DEFL-03,WW,pot,2299.57,476701,0.2831853,600,50,1,0.75,0,185,-
24,GX,B4,DEFL-04,WD,pot,2299.57,383573.3,0.2783963,600,50,1,0.75,0,185,-
25,-,B3,DEFL-05,WW,-,2299.57,-,-,-,-,-,-,-,-,-
26,-,B3,DEFL-06,WD,-,2299.57,-,-,-,-,-,-,-,-,-
27,GX,B5,DEFL-07,WD,pot,2299.57,380277.6,0.2713168,600,50,1,0.75,0,185,-
28,-,B5,DEFL-08,WD,-,2299.57,-,-,-,-,-,-,-,-,-
29,-,B2,DEFL-09,WW,-,2299.57,-,-,-,-,-,-,-,-,-
30,GX,B3,DEFL-10,WD,pot,2299.57,383111.8,0.2795156,600,50,1,0.75,0,185,-
31,-,B4,DEFL-11,WW,-,2299.57,-,-,-,-,-,-,-,-,-
32,-,B3,DEFL-12,WW,-,2299.57,-,-,-,-,-,-,-,-,-
33,GX,B1,DEFL-13,WD,pot,2299.57,336767.4,0.2961881,600,50,1,0.75,0,185,-
34,-,B4,DEFL-14,WD,-,2299.57,-,-,-,-,-,-,-,-,-
35,GX,B1,DEFL-15,WW,pot,2299.57,63783.85,0.2718456,600,50,1,0.75,0,185,-
36,-,B2,DEFL-16,WW,-,2299.57,-,-,-,-,-,-,-,-,-
37,GX,B5,DEFL-17,WW,pot,2299.57,539531.4,0.281373,600,50,1,0.75,0,185,-
38,-,B1,DEFL-18,WD,-,2299.57,-,-,-,-,-,-,-,-,-
39,GX,B4,DEFL-19,WW,pot,2299.57,474017.5,0.2818518,600,50,1,0.75,0,185,-
40,-,B2,DEFL-20,WD,-,2299.57,-,-,-,-,-,-,-,-,-
41,TTR,B1,EMNI-01,WW,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
42,TTR,B1,EMNI-02,WW,pot,2299.57,309.1602,0.4021667,600,50,1,0.75,0,190,"Asuming B1, EMNI-02 - TR, #P 300"
43,TTR,B5,EMNI-03,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
44,TTR,B5,EMNI-04,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
45,TTR,B3,EMNI-05,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
46,TTR,B5,EMNI-06,WW,pot,2299.57,415.3323,0.381,600,50,1,0.75,0,190,"Assuming B5 - TR,  #P 400"
47,TTR,B2,EMNI-07,WW,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
48,TTR,B4,EMNI-08,WD,pot,2299.57,216.7042,0.23283,600,50,1,0.75,0,190,#P 300
49,TTR,B3,EMNI-09,WD,pot,2299.57,235.6697,0.2963308,600,50,1,0.75,0,190,#P 300
50,TTR,B4,EMNI-10,WW,pot,2299.57,1633.897,0.5715,600,50,1,0.75,0,190,#P 1800
51,TTR,B3,EMNI-11,WW,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
52,TTR,B1,EMNI-12,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
53,TTR,B1,EMNI-13,WD,pot,2299.57,873.3368,0.2963308,600,50,1,0.75,0,190,#P 900
54,TTR,B4,EMNI-14,WD,pot,2299.57,432.7736,0.3386667,600,50,1,0.75,0,190,#P 400
55,TTR,B2,EMNI-15,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
56,TTR,B3,EMNI-16,WW,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
57,TTR,B5,EMNI-17,WD,pot,2299.57,776.732,0.3175,600,50,1,0.75,0,190,#P 400
58,TTR,B3,EMNI-18,WD,pot,2299.57,233.7647,0.254,600,50,1,0.75,0,190,#P 400
