typed_by_MRD,block ,pot_ID,treatment,max_root_depth_cm,remarks
GX,B1,DASP-01,WD,13,
GX,B4,DASP-02,WD,13,
GX,B3,DASP-03,WD,13,
LB,B4,DASP-04,WW,13,
LB,B2,DASP-05,WW,13,
GX,B2,DASP-06,WD,13,
LB,B3,DASP-07,WW,13,
LB,B5,DASP-08,WD,13,
GX,B1,DASP-09,WW,13,
GX,B3,DASP-10,WW,13,
LB,B5,DASP-11,WW,13,
-,B1,DASP-12,WD,-,Dead plant (GX)
GX,B5,DASP-13,WW,13,
LB,B3,DASP-14,WD,13,
LB,B2,DASP-15,WD,11,
GX,B4,DASP-16,WW,13,
LB,B1,DASP-17,WW,13,
GX,B2,DASP-18,WW,13,
GX,B5,DASP-19,WD,13,
-,B4,DASP-20,WD,-,Dead plant (GX)
LB,B2,DEFL-01,WD,12,
LB,B1,DEFL-02,WW,10,
LB,B5,DEFL-03,WW,11,
LB,B4,DEFL-04,WD,13,
LB,B3,DEFL-05,WW,11,
LB,B3,DEFL-06,WD,12,
LB,B5,DEFL-07,WD,11,
LB,B5,DEFL-08,WD,13,
LB,B2,DEFL-09,WW,12,
LB,B3,DEFL-10,WD,11,
LB,B4,DEFL-11,WW,11,
LB,B3,DEFL-12,WW,11,
LB,B1,DEFL-13,WD,12,
LB,B4,DEFL-14,WD,11,
LB,B1,DEFL-15,WW,12,
LB,B2,DEFL-16,WW,11,
LB,B5,DEFL-17,WW,11,
LB,B1,DEFL-18,WD,11,
LB,B4,DEFL-19,WW,10,
LB,B2,DEFL-20,WD,11.5,
-,B1,EMNI-01,WW,-,Dead Plant (GX)
LB,B1,EMNI-02,WW,4.5,"No MRD value on data sheet, has a ""-"" for value  (LB)"
-,B1,EMNI-12,WD,-,Dead plant (GX)
GX,B1,EMNI-13,WD,4.5,
-,B2,EMNI-07,WW,-,Dead plant (GX)
LB,B2,EMNI-09,WD,3,
-,B2,EMNI-15,WD,-,Dead plant (GX)
LB,B2,EMNI-20,WW,5.5,
-,B3,EMNI-05,WD,-,Dead plant (GX)
-,B3,EMNI-11,WW,-,Dead plant (GX)
-,B3,EMNI-16,WW,-,"Dead Plant, EMNI-16?? (LB); fixed! (GX)"
LB,B3,EMNI-18,WD,3,
GX,B4,EMNI-14,WD,3.5,missing value; can't seem to find it in the formsheets (GX)
LB,B4,EMNI-08,WD,3.5,
LB,B4,EMNI-10,WW,5.5,
LB,B4,EMNI-19,WW,4,
-,B5,EMNI-03,WD,-,Dead plant (GX)
-,B5,EMNI-04,WW,4.4,missing value; can't seem to find it in the formsheets (GX)
LB,B5,EMNI-06,WW,4,
LB,B5,EMNI-17,WD,3,
LB,B1,FERU-01,WD,13,Extrapolated max rooting depth (13cm) (LB)
LB,B4,FERU-02,WW,12,
LB,B1,FERU-03,WW,11.5,
LB,B4,FERU-04,WD,13,
LB,B1,FERU-05,WD,12,
LB,B2,FERU-06,WD,12.5,
LB,B3,FERU-07,WW,12,
LB,B5,FERU-08,WD,13,
LB,B4,FERU-09,WD,13,
LB,B5,FERU-10,WD,13,
LB,B5,FERU-11,WW,12,
LB,B2,FERU-12,WW,12,
LB,B3,FERU-13,WD,13,
LB,B2,FERU-14,WW,11.5,
LB,B3,FERU-15,WD,13,
LB,B1,FERU-16,WW,12,
LB,B5,FERU-17,WW,12,
LB,B3,FERU-18,WW,12,
LB,B2,FERU-19,WD,11,
LB,B4,FERU-20,WW,13,
GX,B2,PLMA-01,WW,13,
LB,B3,PLMA-02,WD,13,
LB,B4,PLMA-03,WW,13,
LB,B3,PLMA-04,WW,13,
GX,B1,PLMA-05,WW,13,
GX,B2,PLMA-06,WD,13,
LB,B4,PLMA-07,WD,13,
LB,B5,PLMA-08,WW,13,
GX,B4,PLMA-09,WW,13,
GX,B1,PLMA-10,WD,13,
GX,B1,PLMA-11,WW,13,
LB,B3,PLMA-12,WW,13,
GX,B4,PLMA-13,WD,13,
GX,B3,PLMA-14,WD,13,"fieldsheet says ""PLMA-4"" instead of ""PLMA-14""; block and treatment ID match; mostly likely a typo (GX)"
