recorded_by_mdy,typed_by_mdy,session,block,pot_ID,treatment,sample_month,sample_day,sample_year,period,weight_lbs,weight_grams,remarks
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAC-11,WD,7,6,2018,T1,3.49,1583,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DEFL-18,WD,7,6,2018,T1,3.24,1470,
GX - 07/06/2018,GX - 07/09/2018,1,B1,EMNI-12,WD,7,6,2018,T1,3.43,1556,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SC-15,WD,7,6,2018,T1,2.87,1302,
GX - 07/06/2018,GX - 07/09/2018,1,B1,PLMA-16,WD,7,6,2018,T1,3.32,1506,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DASP-01,WD,7,6,2018,T1,3.46,1569,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SYNO-9,WD,7,6,2018,T1,3.10,1406,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SOBI-17,WD,7,6,2018,T1,2.94,1334,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SITR-5,WD,7,6,2018,T1,3.44,1560,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SESE-20,WD,7,6,2018,T1,3.67,1665,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAL-14,WD,7,6,2018,T1,3.24,1470,
GX - 07/06/2018,GX - 07/09/2018,1,B1,VAMA-19,WD,7,6,2018,T1,3.90,1769,
GX - 07/06/2018,GX - 07/09/2018,1,B1,FERU-1,WD,7,6,2018,T1,3.98,1805,
GX - 07/06/2018,GX - 07/09/2018,1,B1,EMNI-13,WD,7,6,2018,T1,3.92,1778,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SC-1,WD,7,6,2018,T1,3.23,1465,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SOBI-5,WD,7,6,2018,T1,2.86,1297,
GX - 07/06/2018,GX - 07/09/2018,1,B1,PLMA-10,WD,7,6,2018,T1,3.41,1547,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SYNO-11,WD,7,6,2018,T1,3.51,1592,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SESE-18,WD,7,6,2018,T1,3.37,1529,
GX - 07/06/2018,GX - 07/09/2018,1,B1,VAMA-20,WD,7,6,2018,T1,4.05,1837,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SITR-7,WD,7,6,2018,T1,3.71,1683,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAL-4,WD,7,6,2018,T1,3.01,1365,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAC-17,WD,7,6,2018,T1,3.86,1751,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DASP-12,WD,7,6,2018,T1,3.41,1547,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DEFL-13,WD,7,6,2018,T1,3.10,1406,
GX - 07/06/2018,GX - 07/09/2018,1,B1,FERU-1,WD,7,6,2018,T2,3.98,1805,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAC-11,WD,7,6,2018,T2,4.18,1896,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DEFL-18,WD,7,6,2018,T2,4.12,1869,
GX - 07/06/2018,GX - 07/09/2018,1,B1,EMNI-12,WD,7,6,2018,T2,4.53,2055,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SC-15,WD,7,6,2018,T2,3.59,1628,
GX - 07/06/2018,GX - 07/09/2018,1,B1,PLMA-16,WD,7,6,2018,T2,4.02,1823,
GX - 07/06/2018,GX - 07/09/2018,1,B1,DASP-1,WD,7,6,2018,T2,4.09,1855,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SYNO-9,WD,7,6,2018,T2,4.09,1855,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SOBI-17,WD,7,6,2018,T2,3.82,1733,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SITR-5,WD,7,6,2018,T2,4.47,2028,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SESE-20,WD,7,6,2018,T2,4.05,1837,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SEAL-14,WD,7,6,2018,T2,4.12,1869,
GX - 07/06/2018,GX - 07/09/2018,1,B1,VAMA-19,WD,7,6,2018,T2,4.26,1932,
GX - 07/06/2018,GX - 07/09/2018,1,B1,FERU-1,WD,7,6,2018,T3,3.86,1751,
GX - 07/06/2018,GX - 07/09/2018,1,B1,EMNI-13,WD,7,6,2018,T2,4.70,2132,
GX - 07/06/2018,GX - 07/09/2018,1,B1,SC-1,WD,7,6,2018,T2,4.15,1882,
