"","block","spp","ind","treatment","fine_root_g","total_root_g"
"1","B1","DASP",1,"WD",0.0964,0.0964
"2","B1","DASP",9,"WW",0.1071,0.1071
"3","B1","DASP",17,"WW",0.0471,0.0471
"4","B1","DEFL",2,"WD",0.3292,0.3292
"5","B1","DEFL",13,"WD",0.6215,0.6215
"6","B1","DEFL",15,"WW",0.3371,0.432
"7","B1","EMNI",2,"WW",0.0032,0.0032
"8","B1","EMNI",13,"WD",0.0039,0.0039
"9","B1","FERU",5,"WD",1.1569,1.1569
"10","B1","FERU",16,"WW",2.7252,2.7252
"11","B1","PLMA",5,"WW",0.599,0.599
"12","B1","PLMA",10,"WD",0.3297,0.3297
"13","B1","PLMA",11,"WW",0.1238,0.1238
"14","B1","PLMA",16,"WD",0.1223,0.1223
"15","B1","SEAC",9,"WW",0.1125,0.1125
"16","B1","SEAC",11,"WD",0.346,0.346
"17","B1","SEAC",12,"WW",0.013,0.013
"18","B1","SEAC",17,"WD",0.0549,0.0549
"19","B1","SEAL",4,"WD",0.7163,0.7163
"20","B1","SEAL",5,"WW",0.2333,0.2333
"21","B1","SEAL",7,"WW",0.3051,0.3051
"22","B1","SEAL",14,"WD",0.458,0.458
"23","B1","SESE",9,"WW",0.7636,0.7636
"24","B1","SESE",18,"WD",0.835,0.835
"25","B1","SESE",19,"WW",0.5078,0.5078
"26","B1","SESE",20,"WD",0.428,0.428
"27","B1","SITR",4,"WW",0.1225,0.1225
"28","B1","SITR",5,"WD",0.0038,0.0038
"29","B1","SITR",7,"WD",0.1975,0.1975
"30","B1","SITR",11,"WW",0.0413,0.0413
"31","B1","SOBI",5,"WD",3.6231,3.8418
"32","B1","SOBI",11,"WW",7.4664,7.4664
"33","B1","SOBI",17,"WD",6.476,6.8755
"34","B1","SOBI",20,"WW",4.7992,4.9129
"35","B1","SYNO",9,"WD",3.5812,6.1616
"36","B1","SYNO",11,"WD",2.2969,5.8738
"37","B1","SYNO",13,"WW",3.2129,5.7468
"38","B1","SYNO",14,"WW",2.728,3.8783
"39","B1","VAMA",1,"WW",0.0055,0.0055
"40","B1","VAMA",19,"WD",0.002,0.002
"41","B2","DASP",5,"WW",0.1647,0.1647
"42","B2","DASP",6,"WD",0.0653,0.0653
"43","B2","DASP",15,"WD",0.014,0.014
"44","B2","DASP",18,"WW",0.1059,0.1059
"45","B2","DEFL",1,"WD",1.5514,1.5514
"46","B2","EMNI",20,"WW",0.0067,0.0067
"47","B2","FERU",12,"WW",3.2158,3.2158
"48","B2","PLMA",1,"WW",2.6891,2.6891
"49","B2","PLMA",6,"WD",0.331,0.331
"50","B2","PLMA",17,"WW",0.3882,0.3882
"51","B2","PLMA",18,"WD",0.3794,0.3794
"52","B2","SEAC",1,"WW",0.0219,0.0219
"53","B2","SEAC",2,"WW",0.1449,0.1449
"54","B2","SEAC",3,"WD",0.275,0.275
"55","B2","SEAC",13,"WD",0.2268,0.2268
"56","B2","SEAL",2,"WW",0.3278,0.3435
"57","B2","SEAL",8,"WD",0.6564,0.6564
"58","B2","SEAL",12,"WD",0.547,0.547
"59","B2","SEAL",13,"WW",0.3098,0.3098
"60","B2","SESE",3,"WW",0.4346,0.4346
"61","B2","SESE",7,"WD",0.7855,0.7855
"62","B2","SESE",8,"WW",0.7167,0.7167
"63","B2","SESE",10,"WD",0.9941,0.9941
"64","B2","SITR",2,"WD",0.856,0.856
"65","B2","SITR",6,"WW",0.0183,0.0183
"66","B2","SITR",18,"WW",0.2726,0.2726
"67","B2","SITR",20,"WD",0.3949,0.3949
"68","B2","SOBI",2,"WW",3.0017,3.6243
"69","B2","SOBI",9,"WD",5.8044,5.992
"70","B2","SOBI",13,"WD",6.1374,6.1374
"71","B2","SOBI",15,"WW",5.731,6.5786
"72","B2","SYNO",2,"WW",3.119,3.119
"73","B2","SYNO",16,"WD",1.2906,1.2906
"74","B2","SYNO",16,"WW",1.5709,3.4341
"75","B2","SYNO",17,"WD",4.2862,7.2948
"76","B2","SYNO",19,"WD",1.1618,1.943
"77","B2","VAMA",9,"WW",0.0039,0.0039
"78","B3","DASP",3,"WD",0.1343,0.1343
"79","B3","DASP",7,"WW",0.0233,0.0233
"80","B3","DASP",10,"WW",0.2582,0.2582
"81","B3","DASP",14,"WD",0.4693,0.4693
"82","B3","DEFL",10,"WD",0.7118,0.7118
"83","B3","EMNI",9,"WD",0.0018,0.0018
"84","B3","EMNI",18,"WD",0.002,0.002
"85","B3","FERU",18,"WW",3.6313,3.6313
"86","B3","PLMA",2,"WD",2.9126,2.9126
"87","B3","PLMA",4,"WW",0.5025,0.5025
"88","B3","PLMA",12,"WW",0.3126,0.3126
"89","B3","PLMA",14,"WD",0.1416,0.1416
"90","B3","SEAC",4,"WW",0.1756,0.1756
"91","B3","SEAC",10,"WW",0.2251,0.2251
"92","B3","SEAC",15,"WD",0.2264,0.2264
"93","B3","SEAC",19,"WD",0.0848,0.0848
"94","B3","SEAL",1,"WD",0.2672,0.2672
"95","B3","SEAL",3,"WD",0.2914,0.2914
