"","block","spp","ind","treatment","raw_total_length_m","mean_radius_mm","rld"
"1","B1","DASP",1,"WD",43.24079,0.3048737,0.0188038589823315
"2","B4","DASP",2,"WD",29.24217,0.3072364,0.0127163643637724
"3","B3","DASP",3,"WD",62.26196,0.2116658,0.0270754793287441
"4","B4","DASP",4,"WW",69.321,0.2009413,0.0301452010593285
"5","B2","DASP",5,"WW",51.33238,0.2885571,0.0223225994425045
"6","B2","DASP",6,"WD",30.86545,0.2116654,0.0134222702505251
"7","B3","DASP",7,"WW",5.261145,0.286172,0.00228788208230234
"8","B5","DASP",8,"WD",28.01294,0.201504,0.0121818166004949
"9","B1","DASP",9,"WW",39.99429,0.2077279,0.0173920733006606
"10","B3","DASP",10,"WW",118.361,0.2109823,0.0514709271733411
"11","B5","DASP",11,"WW",53.16258,0.2326756,0.0231184873693778
"12","B1","DASP",12,"WD",NA,NA,NA
"13","B5","DASP",13,"WW",50.50134,0.2201327,0.0219612101392869
"14","B3","DASP",14,"WD",194.0639,0.2556275,0.0843913862156838
"15","B2","DASP",15,"WD",7.348135,0.2722795,0.00319543871245494
"16","B4","DASP",16,"WW",193.2681,0.2246915,0.0840453215166314
"17","B1","DASP",17,"WW",19.83787,0.2650435,0.00862677370117022
"18","B2","DASP",18,"WW",39.06854,0.3348182,0.0169894980365894
"19","B5","DASP",19,"WD",74.19255,0.2227098,0.0322636623368717
"20","B4","DASP",20,"WD",NA,NA,NA
"21","B2","DEFL",1,"WD",407.8081,0.2920412,0.177341024626343
"22","B2","DEFL",2,"WD",87.4271,0.287866,0.0380188904882217
"23","B5","DEFL",3,"WW",476.701,0.2831853,0.207300060446083
"24","B4","DEFL",4,"WD",383.5733,0.2783963,0.166802184756281
"25","B3","DEFL",5,"WW",NA,NA,NA
"26","B3","DEFL",6,"WD",NA,NA,NA
"27","B5","DEFL",7,"WD",380.2776,0.2713168,0.16536900377027
"28","B5","DEFL",8,"WD",NA,NA,NA
"29","B2","DEFL",9,"WW",NA,NA,NA
"30","B3","DEFL",10,"WD",383.1118,0.2795156,0.16660149506212
"31","B4","DEFL",11,"WW",NA,NA,NA
"32","B3","DEFL",12,"WW",NA,NA,NA
"33","B1","DEFL",13,"WD",336.7674,0.2961881,0.146447988102123
"34","B4","DEFL",14,"WD",NA,NA,NA
"35","B1","DEFL",15,"WW",63.78385,0.2718456,0.0277372943637289
"36","B2","DEFL",16,"WW",NA,NA,NA
"37","B5","DEFL",17,"WW",539.5314,0.281373,0.234622733815452
"38","B1","DEFL",18,"WD",NA,NA,NA
"39","B4","DEFL",19,"WW",474.0175,0.2818518,0.206133103145371
"40","B2","DEFL",20,"WD",NA,NA,NA
"41","B1","EMNI",1,"WW",NA,NA,NA
"42","B1","EMNI",2,"WW",0.3091602,0.4021667,0.000134442613184204
"43","B5","EMNI",3,"WD",NA,NA,NA
"44","B5","EMNI",4,"WD",NA,NA,NA
"45","B3","EMNI",5,"WD",NA,NA,NA
"46","B5","EMNI",6,"WW",0.4153323,0.381,0.000180613027652996
"47","B2","EMNI",7,"WW",NA,NA,NA
"48","B4","EMNI",8,"WD",0.2167042,0.23283,9.42368355823045e-05
"49","B3","EMNI",9,"WD",0.2356697,0.2963308,0.000102484247054884
"50","B4","EMNI",10,"WW",1.633897,0.5715,0.000710522836878199
"51","B3","EMNI",11,"WW",NA,NA,NA
"52","B1","EMNI",12,"WD",NA,NA,NA
"53","B1","EMNI",13,"WD",0.8733368,0.2963308,0.000379782655018112
"54","B4","EMNI",14,"WD",0.4327736,0.3386667,0.00018819761955496
"55","B2","EMNI",15,"WD",NA,NA,NA
"56","B3","EMNI",16,"WW",NA,NA,NA
