"","session","block","spp","ind","treatment","T1","T2","T3","T4"
"1",1,"B1","DASP",1,"WD",1569,1855,1819,1783
"2",1,"B1","DASP",9,"WW",1365,1701,1656,1597
"3",1,"B1","DASP",12,"WD",1547,1869,1846,1805
"4",1,"B1","DASP",17,"WW",1388,1724,1683,1633
"5",1,"B1","DEFL",2,"WW",1578,1882,1819,1764
"6",1,"B1","DEFL",13,"WD",1406,1923,1855,1792
"7",1,"B1","DEFL",15,"WW",1393,1769,1705,1615
"8",1,"B1","DEFL",18,"WD",1470,1869,1801,1737
"9",1,"B1","EMNI",1,"WW",1633,2105,2068,2005
"10",1,"B1","EMNI",2,"WW",1746,2064,2018,1964
"11",1,"B1","EMNI",12,"WD",1556,2055,1946,1946
"12",1,"B1","EMNI",13,"WD",1778,2132,2082,2023
"13",1,"B1","FERU",1,"WD",1805,1805,1751,1692
"14",1,"B1","FERU",3,"WW",1261,1687,1615,1510
"15",1,"B1","FERU",5,"WD",1402,1814,1878,1687
"16",1,"B1","FERU",16,"WW",1941,1955,1860,1769
"17",1,"B1","PLMA",5,"WW",1402,1810,1751,1665
"18",1,"B1","PLMA",10,"WD",1547,2023,1941,1846
"19",1,"B1","PLMA",11,"WW",1578,1955,1901,1823
"20",1,"B1","PLMA",16,"WD",1506,1823,1787,1755
"21",1,"B1","SC",1,"WD",1465,1882,1842,1783
"22",1,"B1","SC",9,"WW",1451,1774,1733,1678
"23",1,"B1","SC",14,"WW",1356,1801,1755,1687
"24",1,"B1","SC",15,"WD",1302,1628,1578,1542
"25",1,"B1","SEAC",9,"WW",1465,1896,1842,1769
"26",1,"B1","SEAC",11,"WD",1583,1896,1846,1805
"27",1,"B1","SEAC",12,"WW",1742,1987,1946,1887
"28",1,"B1","SEAC",17,"WD",1751,2037,1987,1941
"29",1,"B1","SEAL",4,"WD",1365,1737,1678,1601
"30",1,"B1","SEAL",5,"WW",1415,1737,1692,1628
"31",1,"B1","SEAL",7,"WW",1406,1755,1696,1637
"32",1,"B1","SEAL",14,"WD",1470,1869,1796,1737
"33",1,"B1","SESE",9,"WW",1538,1919,1869,1796
"34",1,"B1","SESE",18,"WD",1529,1914,1864,1783
"35",1,"B1","SESE",19,"WW",1733,2014,1960,1910
"36",1,"B1","SESE",20,"WD",1665,1837,1783,1733
"37",1,"B1","SITR",4,"WW",1619,1891,1846,1787
"38",1,"B1","SITR",5,"WD",1560,2028,1964,1928
"39",1,"B1","SITR",7,"WD",1683,1987,1941,1896
"40",1,"B1","SITR",11,"WW",1619,1851,1805,1746
"41",1,"B1","SOBI",5,"WD",1297,1683,1597,1492
"42",1,"B1","SOBI",11,"WW",1324,1692,1615,1506
"43",1,"B1","SOBI",17,"WD",1334,1733,1656,1592
"44",1,"B1","SOBI",20,"WW",1343,1733,1683,1615
"45",1,"B1","SYNO",9,"WD",1406,1855,1774,1696
"46",1,"B1","SYNO",11,"WD",1592,2042,1978,1896
"47",1,"B1","SYNO",13,"WW",1297,1619,1569,1488
"48",1,"B1","SYNO",14,"WW",1320,1665,1601,1529
"49",1,"B1","VAMA",1,"WW",1529,1896,1846,1801
"50",1,"B1","VAMA",16,"WW",1461,1792,1751,1692
"51",1,"B1","VAMA",19,"WD",1769,1932,1796,1837
"52",1,"B1","VAMA",20,"WD",1837,2014,1973,1923
"53",1,"B2","DASP",5,"WW",1647,1887,1851,1801
"54",1,"B2","DASP",6,"WD",1447,1783,1746,1710
