"","block","treatment","spp","ind","max_root_depth_cm"
"1","B1","WD","DASP",1,13
"2","B4","WD","DASP",2,13
"3","B3","WD","DASP",3,13
"4","B4","WW","DASP",4,13
"5","B2","WW","DASP",5,13
"6","B2","WD","DASP",6,13
"7","B3","WW","DASP",7,13
"8","B5","WD","DASP",8,13
"9","B1","WW","DASP",9,13
"10","B3","WW","DASP",10,13
"11","B5","WW","DASP",11,13
"12","B1","WD","DASP",12,NA
"13","B5","WW","DASP",13,13
"14","B3","WD","DASP",14,13
"15","B2","WD","DASP",15,11
"16","B4","WW","DASP",16,13
"17","B1","WW","DASP",17,13
"18","B2","WW","DASP",18,13
"19","B5","WD","DASP",19,13
"20","B4","WD","DASP",20,NA
"21","B2","WD","DEFL",1,12
"22","B1","WW","DEFL",2,10
"23","B5","WW","DEFL",3,11
"24","B4","WD","DEFL",4,13
"25","B3","WW","DEFL",5,11
"26","B3","WD","DEFL",6,12
"27","B5","WD","DEFL",7,11
"28","B5","WD","DEFL",8,13
"29","B2","WW","DEFL",9,12
"30","B3","WD","DEFL",10,11
"31","B4","WW","DEFL",11,11
"32","B3","WW","DEFL",12,11
"33","B1","WD","DEFL",13,12
"34","B4","WD","DEFL",14,11
"35","B1","WW","DEFL",15,12
"36","B2","WW","DEFL",16,11
"37","B5","WW","DEFL",17,11
"38","B1","WD","DEFL",18,11
"39","B4","WW","DEFL",19,10
"40","B2","WD","DEFL",20,11.5
"41","B1","WW","EMNI",1,NA
"42","B1","WW","EMNI",2,4.5
"43","B1","WD","EMNI",12,NA
"44","B1","WD","EMNI",13,4.5
"45","B2","WW","EMNI",7,NA
"46","B2","WD","EMNI",9,3
"47","B2","WD","EMNI",15,NA
"48","B2","WW","EMNI",20,5.5
"49","B3","WD","EMNI",5,NA
"50","B3","WW","EMNI",11,NA
"51","B3","WW","EMNI",16,NA
"52","B3","WD","EMNI",18,3
"53","B4","WD","EMNI",14,3.5
"54","B4","WD","EMNI",8,3.5
"55","B4","WW","EMNI",10,5.5
"56","B4","WW","EMNI",19,4
"57","B5","WD","EMNI",3,NA
"58","B5","WW","EMNI",4,4.4
"59","B5","WW","EMNI",6,4
